n_features,features,silhouette,jacs_score,combined,k,best_cluster,best_n_good,best_n_jacs
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_518')",0.2944240196940014,1.5,0.656096813785801,3,0,87,87
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_521')",0.29404113838622087,1.5,0.6558287968703546,3,0,84,84
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'AAC_G', 'ESM2_406')",0.29400058319170436,1.5,0.655800408234193,3,2,87,87
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'InterPLM_esm2-650m_L24_mean_949', 'AAC_G')",0.29391875807058937,1.5,0.6557431306494125,3,2,87,87
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_2')",0.29277941239286526,1.5,0.6549455886750056,3,1,90,90
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_48')",0.2927416892336959,1.5,0.6549191824635872,3,2,84,84
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_776')",0.2921066140746913,1.5,0.6544746298522839,2,0,89,91
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'InterPLM_esm2-650m_L24_mean_1917', 'AAC_G')",0.29030554115799556,1.5,0.6532138788105968,3,2,89,89
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_578', 'AAC_G', 'ESM2_574')",0.28960644729137786,1.5,0.6527245131039645,3,0,92,92
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'ESM2_803', 'AAC_G')",0.2892964470286536,1.5,0.6525075129200575,3,0,86,86
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'ESM2_848', 'ESM2_3')",0.2889118799855993,1.5,0.6522383159899194,2,0,82,84
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_803', 'AAC_G', 'ESM2_276')",0.28883182777632216,1.5,0.6521822794434254,3,2,87,87
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'InterPLM_esm2-650m_L24_mean_10015')",0.2887872587810957,1.5,0.6521510811467669,3,1,86,86
10,"('InterPLM_esm2-650m_L24_mean_198', 'ESM2_295', 'ESM2_535', 'ESM2_403', 'ESM2_402', 'ESM2_102', 'ESM2_172', 'ESM2_43', 'AAC_G', 'ESM2_746')",0.28846710719751645,1.5,0.6519269750382615,3,1,89,89
